iter	TotalF1	Logloss
0	0.8468726105	0.5287309427
1	0.840756541	0.4632632765
2	0.8674052951	0.4123399099
3	0.8779336013	0.3865729829
4	0.8593471645	0.3603948747
5	0.8692223282	0.3444227157
6	0.8915853471	0.3285904435
7	0.9019729655	0.3187807345
8	0.9024920173	0.3081014028
9	0.9068703821	0.299246456
10	0.9112480492	0.285578321
11	0.906346574	0.2740686192
12	0.906346574	0.2700681229
13	0.9058056086	0.2658721441
14	0.91562553	0.2584980905
15	0.9107201761	0.2577239633
16	0.9101757909	0.2568361292
17	0.9150942844	0.2494216824
18	0.9150942844	0.24877118
19	0.9150942844	0.2473809646
20	0.9249036666	0.2395183634
21	0.9200033366	0.2364525883
22	0.9200033366	0.2358112485
23	0.9150942844	0.2336974328
24	0.9200033366	0.2300972594
25	0.9150942844	0.2296565129
26	0.9341809955	0.2235383202
27	0.9297959892	0.2214780165
28	0.9297959892	0.2171569502
29	0.9341809955	0.2166247048
30	0.9341809955	0.2140258472
31	0.9341809955	0.2136578713
32	0.9390688681	0.2128655685
33	0.9341809955	0.2124651423
34	0.9390688681	0.2121606925
35	0.9439499311	0.2079361692
36	0.9488248893	0.2069808854
37	0.9488248893	0.2062695768
38	0.9532182197	0.2058920559
39	0.9488248893	0.2053537405
40	0.9488248893	0.2048042382
41	0.9488248893	0.2043326543
42	0.9576125011	0.1975413537
43	0.9527332753	0.1928973012
44	0.9532182197	0.19092579
45	0.9576125011	0.1895662434
46	0.9576125011	0.1881674621
47	0.9576125011	0.1878386957
48	0.9576125011	0.1876743261
49	0.9624858914	0.1864721947
50	0.9624858914	0.1851551912
51	0.9629564318	0.1842707775
52	0.9673541482	0.1823678199
53	0.9673541482	0.1801426074
54	0.9673541482	0.1798524012
55	0.9722179699	0.1774873728
56	0.9722179699	0.1772720221
57	0.9722179699	0.1747056935
58	0.9678188564	0.1743619919
59	0.9678188564	0.1741986585
60	0.9678188564	0.1739286772
61	0.9722179699	0.1735735187
62	0.9722179699	0.1696389806
