iter	Passed	Remaining
0	9	963
1	17	855
2	27	889
3	37	909
4	46	874
5	52	821
6	58	771
7	66	767
8	73	741
9	79	717
10	85	692
11	91	672
12	97	652
13	103	633
14	109	622
15	115	606
16	121	594
17	127	578
18	132	563
19	137	549
20	142	536
21	147	523
22	153	512
23	158	501
24	163	490
25	169	481
26	174	470
27	179	460
28	184	451
29	189	441
30	194	431
31	199	423
32	204	415
33	209	407
34	215	400
35	220	392
36	226	385
37	231	377
38	236	370
39	242	364
40	248	357
41	254	351
42	259	344
43	264	337
44	271	331
45	276	324
46	281	317
47	291	315
48	299	311
49	308	308
50	315	302
51	320	296
52	325	288
53	332	283
54	338	277
55	343	270
56	351	264
57	356	258
58	361	251
59	367	245
60	372	238
61	377	231
62	386	227
